"Id","Nombre","Descripcion","ActorOrigen","Entradas","Salidas","Prioridad","CriterioVerif","TieneFuente","TienePrioridad","TieneCriterio","CriterioConUmbral"
"RF-13","Generación de estadísticas agrícolas","El sistema deberá generar estadísticas basadas en la información registrada, permitiendo visualizar indicadores relacionados con la producción, las actividades realizadas y el rendimiento de los cultivos.","Administrador: EV-01 [07:28], [07:36], [07:43].","Ninguna directa; procesa la información ya registrada en el sistema.","Gráficos e indicadores de producción, actividades y rendimiento.","Debería tener.","El sistema presenta las estadísticas agrícolas en $\leq$ 3,0 s con la información de un período de 12 meses cargada, verificado en el percentil 95 de 20 ejecuciones.","True","True","True","True"
"RF-14","Gestión de usuarios","El sistema deberá permitir registrar, modificar, consultar y desactivar las cuentas de los usuarios autorizados, asignando el rol correspondiente a cada uno.","Administrador: R-02 (el acceso a la información dependerá del rol asignado a cada usuario); EV-01 [02:35].","Nombre de usuario (texto, obligatorio); rol (selección, obligatorio); estado (selección: activo o inactivo, obligatorio).","Cuenta de usuario registrada, modificada o desactivada, con el rol correspondiente.","Debe tener.","El 100~\% de los cambios de rol o estado de un usuario se reflejan en sus permisos de acceso en $\leq$ 2,0 s, verificado sobre una muestra de 20 cuentas de prueba.","True","True","True","True"
"RF-15","Consultar recomendaciones de IA","El sistema deberá analizar la información registrada sobre los cultivos de verde y cacao para generar recomendaciones que apoyen la planificación de actividades y la toma de decisiones por parte del administrador.","Administrador: EV-01 [09:26], [09:36].","Ninguna directa; el módulo de IA procesa los registros históricos existentes de producción, actividades e inventario.","Recomendaciones relacionadas con la gestión de los cultivos, sujetas a la restricción R-05.","Podría tener.","El sistema presenta recomendaciones fundamentadas en la información registrada en $\leq$ 5,0 s, sin modificar automáticamente los datos almacenados, verificado sobre 20 solicitudes de recomendación.","True","True","True","True"
"RF-16","Registro de enfermedades del cultivo","El sistema deberá permitir registrar las enfermedades detectadas en los cultivos de verde y cacao, indicando el cultivo afectado, el nombre de la enfermedad, el nivel de gravedad y observaciones, con el fin de llevar un control fitosanitario y facilitar la generación de alertas cuando sea necesario.","Administrador, Trabajador agrícola: EV-02 [01:42]; EV-01 [01:16], [01:25].","Cultivo afectado (selección, obligatorio); nombre de la enfermedad (selección desde catálogo, RF-20, obligatorio); nivel de gravedad (selección, obligatorio); observaciones (texto, opcional).","Enfermedad registrada y, si la gravedad es alta, alerta generada (RF-25).","Debería tener.","El 100~\% de los registros de enfermedad con nivel de gravedad alto generan una alerta en $\leq$ 5,0 s desde su registro, verificado sobre una muestra de 30 casos.","True","True","True","True"
"RF-17","Registro de peso y comprobante de acopio","El sistema deberá permitir registrar el peso entregado y el número de comprobante emitido por el centro de acopio para cada cosecha, como respaldo de la producción declarada.","Trabajador agrícola, Administrador: EV-01 [04:32], [04:47].","Peso entregado (numérico, kg o toneladas, obligatorio); número de comprobante (texto, obligatorio).","Registro de cosecha (RF-05) con peso y comprobante asociados.","Debería tener.","El 100~\% de los registros de cosecha con comprobante de acopio permiten recuperar el peso y el número de comprobante en una consulta posterior, verificado sobre una muestra de 30 registros.","True","True","True","True"
"RF-18","Comparación de producción entre periodos","El sistema deberá permitir comparar la producción registrada entre dos periodos seleccionados por el administrador, para un mismo cultivo o parcela.","Administrador: EV-01 [04:47], [04:54].","Periodo 1, periodo 2, cultivo o parcela (selección, obligatorio); vista derivada del resultado de la consulta de producción por período (RF-07).","Diferencia porcentual y absoluta de producción entre los dos periodos seleccionados.","Debería tener.","La comparación entre dos periodos con 500 registros de producción se presenta en $\leq$ 3,0 s, verificado en el percentil 95 de 30 ejecuciones.","True","True","True","True"
"RF-19","Reporte de pérdidas por plagas","El sistema deberá generar un reporte de pérdidas de producción estimadas asociadas a plagas y enfermedades, por cultivo y por parcela.","Administrador: EV-01 [08:17], [08:22], [08:29] (reporte señalado como el más importante por el administrador).","Periodo (fecha, obligatorio); cultivo o parcela (selección, opcional).","Reporte con pérdida estimada por plaga o enfermedad, cultivo y parcela.","Debe tener.","El reporte de pérdidas por plagas se genera en $\leq$ 3,0 s con 500 registros de enfermedad cargados, verificado en el percentil 95 de 30 ejecuciones.","True","True","True","True"
"RF-20","Catálogo de plagas y enfermedades por cultivo","El sistema deberá mantener un catálogo de plagas y enfermedades asociadas a cada tipo de cultivo, con nombre normalizado, para estandarizar el registro de incidencias fitosanitarias.","Administrador: EV-02 [01:42]; EV-01 [01:16], [01:25].","Nombre de la plaga o enfermedad (texto, obligatorio); cultivo asociado (selección, obligatorio).","Lista de plagas y enfermedades disponible para selección en el registro de enfermedades (RF-16).","Debería tener.","El 100~\% de los registros de enfermedad (RF-16) permiten seleccionar el nombre desde el catálogo sin ingreso de texto libre, verificado sobre una muestra de 30 registros.","True","True","True","True"
"RF-21","Planificación de compra de insumos por calendario","El sistema deberá permitir planificar la compra de insumos agrícolas asignando cantidades estimadas por cultivo a meses específicos del año.","Administrador: EV-01 [05:36], [05:44].","Insumo (selección, obligatorio); cultivo (selección, obligatorio); mes (selección, obligatorio); cantidad estimada (numérico, obligatorio).","Calendario de compras planificadas por insumo y mes.","Debería tener.","El sistema muestra el calendario de compras planificadas de los 12 meses en $\leq$ 2,0 s, verificado en el percentil 95 de 20 ejecuciones.","True","True","True","True"
"RF-22","Registro de entrega de insumos a trabajadores","El sistema deberá permitir registrar la entrega de insumos agrícolas del administrador a un trabajador, actualizando la disponibilidad del inventario.","Administrador: EV-02 [02:25].","Insumo (selección, obligatorio); cantidad entregada (numérico, obligatorio); trabajador receptor (selección, obligatorio); fecha (fecha, obligatorio).","Actualización del inventario (RF-06) y registro de entrega asociado al trabajador.","Podría tener.","El 100~\% de las entregas registradas descuentan correctamente la cantidad del inventario disponible, verificado sobre una muestra de 30 entregas.","True","True","True","True"
"RF-23","Registro de ingresos","El sistema deberá permitir registrar los ingresos generados por la venta de la producción agrícola, asociados a cultivo y periodo.","Administrador: EV-01 [06:23], [06:28], [06:37].","Monto (numérico, obligatorio); cultivo (selección, obligatorio); periodo (fecha, obligatorio); fecha (fecha, obligatorio).","Registro de ingreso disponible para consulta por periodo.","Podría tener (necesidad secundaria frente a las prioridades explícitas del administrador).","El registro de un ingreso queda disponible para consulta en $\leq$ 2,0 s tras su ingreso, verificado sobre 20 registros consecutivos.","True","True","True","True"
"RF-24","Consulta de historial de registros por trabajador y fecha","El sistema deberá permitir consultar el historial de labores y cosechas registradas, filtrado por trabajador y por rango de fechas, para permitir la reconciliación de la información y evitar la desviación de datos identificada en el registro en papel.","Administrador: EV-01 [02:04], [02:17].","Trabajador (selección, opcional); rango de fechas (obligatorio).","Listado de labores y cosechas registradas en el rango filtrado.","Debe tener.","La consulta del historial filtrado por trabajador y fecha con 500 registros se presenta en $\leq$ 2,0 s, verificado en el percentil 95 de 30 ejecuciones.","True","True","True","True"
"RF-25","Generación de alertas automáticas de atención inmediata","El sistema deberá generar alertas automáticas visibles al administrador cuando se registre una condición que requiera atención inmediata, incluyendo enfermedades de gravedad alta e insumos con disponibilidad crítica.","Administrador: EV-01 [10:33].","Ninguna directa; se genera a partir de los registros de RF-16 y RF-06.","Alerta con tipo, origen (parcela o insumo) y momento de generación.","Debe tener.","El 100~\% de las condiciones que requieren atención inmediata (enfermedades con gravedad alta registradas vía RF-16 e insumos con disponibilidad crítica registrados vía RF-06) generan una alerta visible en $\leq$ 5,0 s desde su registro, verificada cada fuente por separado sobre una muestra de 30 casos por tipo.","True","True","True","True"
"RF-26","Detección temprana de señales de enfermedad en parcelas mediante IA","El sistema deberá analizar mediante IA la información histórica registrada de una parcela para generar una alerta temprana cuando se identifiquen patrones asociados a una posible enfermedad, antes de su confirmación visual por el usuario.","Administrador: EV-01 [09:02].","Registros históricos de la parcela (labores, cosechas, enfermedades previas).","Alerta temprana de posible enfermedad, con parcela y nivel de confianza del modelo.","Debe tener.","El módulo de IA genera la alerta temprana con una exactitud (accuracy) mínima del 70~\% sobre un conjunto de validación de al menos 30 casos etiquetados.","True","True","True","True"
"RF-27","Consulta de producción agregada por cultivo","El sistema deberá permitir consultar la producción total registrada agrupada por cultivo, sin necesidad de discriminar por parcela individual.","Administrador: EV-01 [09:57].","Cultivo (selección); periodo (opcional); vista derivada del resultado de la consulta de producción agregada del período (RF-07).","Producción total agregada del cultivo seleccionado.","Debería tener.","La consulta de producción agregada por cultivo con 500 registros se presenta en $\leq$ 2,0 s, verificado en el percentil 95 de 30 ejecuciones.","True","True","True","True"
"RF-28","Confirmar o descartar una alerta o recomendación del módulo de IA","El sistema deberá permitir que el administrador confirme o descarte cada alerta temprana (RF-26) o recomendación (RF-15) presentada, registrando la decisión como retroalimentación del componente IA-01.","Administrador: EV-01 [09:02], [09:10] (necesidad de verificar la información antes de actuar); R-05.","Alerta o recomendación presentada (RF-15, RF-26); decisión del administrador (confirmar o descartar).","Registro de la decisión, disponible como retroalimentación para el plan de monitoreo del componente (Sección~\ref{sec:componentes-ia}); ningún cambio se aplica automáticamente sin esta confirmación.","Debería tener.","El 100~\% de las alertas y recomendaciones generadas quedan con una decisión de confirmación o descarte registrada, verificado sobre una muestra de 30 alertas o recomendaciones; ninguna acción se ejecuta automáticamente sin esta decisión.","True","True","True","True"
"RF-29","Clasificar una fotografía de una incidencia fitosanitaria","El sistema deberá, a partir de una fotografía tomada durante el registro de una incidencia fitosanitaria (RF-16), proponer una clase del catálogo de plagas y enfermedades del cultivo correspondiente (RF-20), o «sin hallazgo» / «no concluyente», junto con un nivel de confianza.","Administrador, Trabajador agrícola: EV-01 [01:16], [01:25], [08:17]--[08:29] (pérdidas por plagas como reporte prioritario); EV-02 [01:34] (reporte de incidencias fitosanitarias por el trabajador agrícola).","Fotografía tomada en campo; cultivo y parcela seleccionados en el registro de la incidencia (RF-16).","Clase propuesta del catálogo (RF-20), o «sin hallazgo» / «no concluyente»; nivel de confianza; región de la imagen que motivó la propuesta (RNF-26).","Debería tener.","Sobre un conjunto de 30 fotografías de campo con clase confirmada, el sistema devuelve una propuesta de clase y nivel de confianza para el 100~\% de las capturas, sin modificar automáticamente el registro de enfermedad (R-05).","True","True","True","True"
"RF-30","Registrar la clase confirmada en el historial de la parcela","El sistema deberá permitir que el usuario confirme, corrija o descarte la propuesta de RF-29 y, solo tras esa decisión, completar el registro de la incidencia (RF-16) con la clase resultante.","Administrador, Trabajador agrícola: RF-16; R-05.","Propuesta de clase de RF-29; decisión del usuario (confirmar, corregir o descartar).","Registro de enfermedad (RF-16) completado con la clase resultante y el origen «detección por imagen»; si se descarta, no se crea ni modifica ningún registro a partir de la propuesta.","Debería tener.","El 100~\% de los registros de enfermedad con origen «detección por imagen» tienen una decisión explícita del usuario asociada, verificado sobre una muestra de 20 casos; ninguna propuesta descartada genera o modifica un registro.","True","True","True","True"
"RF-31","Generar alerta por incidencia acumulada de una plaga o enfermedad por parcela","El sistema deberá generar una alerta mediante el mecanismo ya existente (RF-25) cuando el número de detecciones confirmadas (RF-30) de una misma clase en una misma parcela alcance un umbral de incidencia configurado por el administrador.","Administrador: EV-01 [08:17]--[08:29] (pérdidas por plagas como preocupación prioritaria), [10:33] (alertas de atención inmediata).","Detecciones confirmadas (RF-30); umbral de incidencia configurado por el administrador (valor por defecto propuesto: 3 detecciones en 7 días).","Alerta de atención inmediata (RF-25) con parcela, clase y detecciones que la originaron.","Debería tener.","El 100~\% de los casos de prueba en que se alcanza el umbral configurado generan alerta en $\leq$ 5,0 s, y ningún caso por debajo del umbral la genera, verificado sobre 10 escenarios simulados.","True","True","True","True"
